Date,Close/Last,Open,High,Low
02/26/2018,67.50,67.30,67.90,66.74
02/23/2018,67.31,66.25,67.37,65.80
02/22/2018,66.39,65.01,66.55,64.64
02/21/2018,65.42,65.11,65.53,64.40
02/20/2018,65.25,64.86,65.83,64.78
02/16/2018,64.84,64.86,65.40,64.86
02/15/2018,64.33,64.32,65.10,63.12
02/14/2018,64.36,62.47,64.56,61.96
02/13/2018,62.72,62.74,63.10,61.76
02/12/2018,62.59,62.64,64.41,62.56
02/09/2018,62.79,64.38,64.63,61.77
02/08/2018,64.81,65.44,65.59,64.11
02/07/2018,65.51,67.23,67.72,65.16
02/06/2018,66.86,66.99,67.59,66.55
02/05/2018,67.62,68.20,68.46,67.00
02/02/2018,68.58,69.75,70.01,67.96
02/01/2018,69.65,68.84,69.96,68.81
01/31/2018,69.05,68.38,69.07,68.30
01/30/2018,69.02,69.52,69.52,68.42
01/29/2018,69.46,70.52,70.64,69.08
01/26/2018,70.52,70.10,70.83,69.84
01/25/2018,70.42,70.71,71.26,69.97
01/24/2018,70.53,69.88,70.91,69.54
01/23/2018,69.96,69.25,70.24,69.12
01/22/2018,69.03,68.78,69.51,68.39
01/19/2018,68.61,69.14,69.15,68.27
01/18/2018,69.31,69.43,69.66,68.80
01/17/2018,69.38,69.39,69.59,68.54
01/16/2018,69.15,69.91,70.37,68.84
01/12/2018,69.87,69.91,69.91,69.67
01/11/2018,69.26,69.08,70.03,69.00
01/10/2018,69.20,69.17,69.36,68.75
01/09/2018,68.82,67.93,69.20,67.69
01/08/2018,67.78,67.82,67.98,67.45
01/05/2018,67.62,68.06,68.09,67.27
01/04/2018,68.07,68.00,68.26,67.53
01/03/2018,67.84,66.49,68.01,66.40
01/02/2018,66.57,66.42,67.28,66.23
12/29/2017,66.87,66.12,66.96,66.12
12/28/2017,66.72,66.42,66.78,66.29
12/27/2017,66.44,66.72,66.94,66.05
12/26/2017,67.02,65.07,67.08,65.01
12/22/2017,65.25,64.60,65.28,64.39
12/21/2017,64.90,64.48,64.92,64.19
12/20/2017,64.56,63.85,64.60,63.68
12/19/2017,63.80,63.44,63.91,63.30
12/18/2017,63.41,63.32,63.91,63.00
12/15/2017,63.23,63.42,63.67,63.08
12/14/2017,63.31,62.84,63.50,62.02
12/13/2017,62.44,63.90,64.31,62.36
12/12/2017,63.34,64.74,65.82,63.09
12/11/2017,64.69,63.34,64.92,62.99
12/08/2017,63.40,61.94,63.61,61.94
12/07/2017,62.20,61.24,62.25,61.16
12/06/2017,61.22,62.77,62.92,61.14
12/05/2017,62.86,62.39,63.13,62.14
12/04/2017,62.45,63.49,63.64,62.32
12/01/2017,63.73,62.64,64.31,62.60
11/30/2017,63.57,63.34,64.20,63.20
11/29/2017,63.11,63.34,64.04,62.55
11/28/2017,63.61,63.71,63.90,63.11
11/27/2017,63.84,63.85,63.98,63.10
11/24/2017,63.86,63.52,63.95,62.89
11/22/2017,63.32,63.23,63.38,63.10
11/21/2017,62.57,62.13,62.84,62.04
11/20/2017,62.22,62.72,62.80,61.44
11/17/2017,62.72,61.45,62.90,61.09
11/16/2017,61.36,61.87,62.15,61.25
11/15/2017,61.87,61.50,62.12,61.31
11/14/2017,62.21,63.16,63.21,61.21
11/13/2017,63.16,63.62,63.73,62.62
11/10/2017,63.52,63.83,64.27,63.35
11/09/2017,63.93,63.83,63.85,63.73
11/08/2017,63.49,63.63,64.64,62.95
11/07/2017,63.69,64.09,64.64,63.49
11/06/2017,64.27,62.13,64.44,62.13
11/03/2017,62.07,60.73,62.22,60.60
11/02/2017,60.62,60.44,60.82,60.04
11/01/2017,60.49,61.10,61.70,60.00
10/31/2017,61.37,60.87,61.38,60.55
10/30/2017,60.90,60.65,61.00,60.16
10/27/2017,60.44,59.49,60.66,58.82
10/26/2017,59.30,58.48,59.55,58.04
10/25/2017,58.44,58.46,58.73,57.86
10/24/2017,58.33,57.36,58.48,57.03
10/23/2017,57.37,57.97,58.03,57.28
10/20/2017,57.75,57.29,57.90,56.60
10/19/2017,57.23,58.20,58.28,57.04
10/18/2017,58.15,58.07,58.54,57.75
10/17/2017,57.88,57.84,58.35,57.18
10/16/2017,57.82,57.12,58.47,57.12
10/13/2017,57.17,56.47,57.56,56.38
10/12/2017,56.25,56.66,56.82,55.88
10/11/2017,56.94,56.54,57.09,56.16
10/10/2017,56.61,55.70,56.91,55.69
10/09/2017,55.79,55.49,55.98,55.06
10/06/2017,55.62,56.98,57.27,55.14
10/05/2017,57.00,55.77,57.24,55.70
10/04/2017,55.80,55.70,56.19,55.39
10/03/2017,56.00,56.08,56.39,55.69
10/02/2017,56.12,56.62,56.75,55.51
09/29/2017,56.79,57.53,57.76,57.21
09/28/2017,57.41,57.67,58.62,56.85
09/27/2017,57.90,58.60,58.86,57.57
09/26/2017,58.44,59.20,59.49,57.78
09/25/2017,59.02,56.89,59.22,56.70
09/22/2017,56.86,56.50,56.90,56.23
09/21/2017,56.43,56.18,56.53,55.78
09/20/2017,56.29,55.41,56.48,55.28
09/19/2017,55.14,55.45,55.88,54.89
09/18/2017,55.48,55.53,55.94,54.82
09/15/2017,55.62,55.27,55.85,54.87
09/14/2017,55.47,55.07,56.00,54.93
09/13/2017,55.16,54.26,55.20,54.03
09/12/2017,54.27,53.86,54.44,53.43
09/11/2017,53.84,53.75,54.11,53.04
09/08/2017,53.78,54.54,54.86,53.56
09/07/2017,54.49,54.08,54.67,53.89
09/06/2017,54.20,53.18,54.30,53.09
09/05/2017,53.38,52.33,53.65,51.98
09/01/2017,52.75,52.80,52.80,52.34
08/31/2017,52.38,50.51,52.35,50.13
08/30/2017,50.86,51.88,52.02,50.63
08/29/2017,52.00,52.15,52.15,51.37
08/28/2017,51.89,52.67,53.16,51.52
08/25/2017,52.41,52.20,52.79,51.92
08/24/2017,52.04,52.55,52.71,51.61
08/23/2017,52.57,51.63,52.62,51.45
08/22/2017,51.87,51.68,52.27,51.40
08/21/2017,51.66,52.90,52.90,51.29
08/18/2017,52.72,50.86,52.95,50.78
08/17/2017,51.03,50.38,51.11,49.99
